r	wt_control_z1	wt_control_z2	wt_control_z3	wt_control_z4	wt_control_z5	wt_control_z6	wt_control_z7	wt_control_z8	wt_control_z9	wt_control_z10	wt_control_z11	wt_control_z12	wt_control_z13	wt_control_z14
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1.216	0.862721982	0.850938007	0.89378684	0.877212946	0.881620224	0.865448529	0.780408299	0.686246194	0.742169003	0.853326979	0.858981552	0.840011842	0.844164425	0.78850516
2.432	0.804971982	0.786791923	0.851651351	0.826359918	0.840691313	0.820528462	0.734074453	0.569389746	0.663941784	0.788988872	0.808325654	0.807986758	0.806149724	0.729585018
3.648	0.714800179	0.736286465	0.774109577	0.773221449	0.796292511	0.752335029	0.643902924	0.452974187	0.580696747	0.721327651	0.724513359	0.74405787	0.763538193	0.637124174
4.864	0.668935395	0.702710702	0.720108167	0.754235608	0.762530752	0.699645616	0.585260418	0.391157379	0.510533656	0.673636332	0.65767295	0.67896007	0.730679123	0.580194402
6.08	0.649508856	0.695145505	0.702032154	0.742927177	0.75311262	0.681155286	0.566260417	0.379650843	0.492787013	0.654789392	0.634737667	0.655858608	0.718525635	0.556360616
7.296	0.605666681	0.676584385	0.659414649	0.720302823	0.728788076	0.640905664	0.52028947	0.326924879	0.42972341	0.612546828	0.572583814	0.612043777	0.690120633	0.514144209
8.512	0.578542325	0.664504078	0.633731375	0.709451837	0.715348582	0.616239742	0.492522572	0.295972965	0.392954737	0.586518796	0.53191559	0.586600502	0.672080183	0.486015217
9.728	0.566020189	0.65963979	0.621735742	0.703916313	0.708016553	0.601679861	0.478985676	0.284822751	0.37260685	0.576347654	0.509704368	0.574268657	0.664184198	0.471593345
10.944	0.534950477	0.644870046	0.597761612	0.694996533	0.695955469	0.575848375	0.451304856	0.259548963	0.328469015	0.55322498	0.46876001	0.549388751	0.643653831	0.441871343
12.16	0.513628269	0.636537415	0.584526116	0.689409882	0.687335954	0.562605487	0.435382285	0.246664847	0.30066004	0.539499314	0.443851388	0.538379211	0.631454286	0.424028025
13.376	0.481610141	0.624040033	0.563735516	0.682922236	0.677401171	0.542495439	0.410569571	0.236495077	0.265509842	0.520121854	0.409373726	0.522077708	0.61049925	0.397624351
14.592	0.453145666	0.614195472	0.550546639	0.678103606	0.668931479	0.524332314	0.392379342	0.225872218	0.234806894	0.505466671	0.386820737	0.510109438	0.592279411	0.379988859
15.808	0.432258352	0.611504885	0.540525804	0.672981711	0.664203866	0.512108085	0.379054361	0.2188424	0.214505433	0.496383598	0.370646153	0.504992996	0.579520925	0.366855757
17.024	0.406374152	0.605476641	0.529313662	0.669386662	0.657952771	0.496717766	0.359910476	0.209136689	0.185861089	0.480744197	0.354443213	0.499202181	0.561201856	0.350577997
18.24	0.383979494	0.60187707	0.520891087	0.667473513	0.654059012	0.484784571	0.346357447	0.198906132	0.165353296	0.469670399	0.345025241	0.495615568	0.546569907	0.336924185
19.456	0.365580896	0.602581557	0.515906793	0.665466791	0.65148931	0.476036893	0.334484094	0.192209407	0.149564264	0.460239378	0.335707242	0.494983538	0.53296173	0.328960643
20.672	0.347079722	0.600238109	0.51038564	0.663970501	0.647025173	0.465367159	0.321936649	0.18413983	0.134575768	0.449202993	0.329483591	0.491667017	0.518346168	0.318015379
21.888	0.331825943	0.600346213	0.506115443	0.662902054	0.643162425	0.457965724	0.310891114	0.176645061	0.1246362	0.441407112	0.325528768	0.488419089	0.505831902	0.309651667
23.104	0.319160064	0.600595062	0.503590284	0.661942824	0.640085142	0.451314261	0.300110961	0.170425551	0.118497995	0.434169498	0.320316565	0.485709193	0.494792214	0.302930713
24.32	0.303725425	0.599873448	0.500318887	0.66123899	0.634597681	0.442853175	0.285546229	0.16216691	0.112922209	0.425379183	0.317482816	0.482252011	0.480251233	0.293735612
25.536	0.292929202	0.599676839	0.496782185	0.660364197	0.630198048	0.437095045	0.272941641	0.157702643	0.110614376	0.419740028	0.314299701	0.47885633	0.468666849	0.287331584
26.752	0.282556435	0.599045607	0.493457982	0.659915794	0.625326861	0.431487373	0.260372786	0.152896256	0.109585922	0.416506539	0.311480555	0.477033452	0.457998165	0.280961207
