a	b	c	InterceptX_Y=0
7.5099e-01	1.3155e+01	1.9012e-01	1.6485e+01
3.6953e-01	4.2579e+00	5.9861e-01	1.1155e+01
5.1521e-01	8.5899e+00	4.5452e-01	1.6168e+01
3.1718e-01	4.2938e+00	6.5820e-01	1.3204e+01
3.4596e-01	9.4413e+00	5.8887e-01	2.5511e+01
5.7131e-01	1.1099e+01	3.6614e-01	1.8212e+01
7.8204e-01	1.7234e+01	6.0245e-02	1.8562e+01
7.6028e-01	5.6082e+00	1.2765e-01	6.5499e+00
8.2461e-01	7.7385e+00	9.9100e-02	8.6685e+00
5.4613e-01	7.9938e+00	4.0353e-01	1.3900e+01
7.0062e-01	7.8819e+00	2.8754e-01	1.1117e+01
5.0480e-01	6.0957e+00	4.6499e-01	1.1711e+01
6.7126e-01	2.4886e+01	2.1732e-01	3.2943e+01
6.7556e-01	9.1616e+00	2.2978e-01	1.2278e+01
