ID	score	pheno
ID1	1.5	1
ID2	1	1
ID3	1.2	1
ID4	1.1	1
ID5	1.6	1
ID6	1.9	1
ID7	1.4	1
ID8	1.4	1
ID9	0.9	1
ID10	1.1	1
ID11	1.7	1
ID12	1.4	1
ID13	1	1
ID14	1	1
ID15	2	1
ID16	2.4	1
ID17	1.9	1
ID18	1.5	1
ID19	1.8	1
ID20	1.8	1
ID21	1.4	1
ID22	1.7	1
ID23	1.6	1
ID24	1.3	1
ID25	1.4	1
ID26	1	1
ID27	1.4	1
ID28	1.5	1
ID29	1.4	1
ID30	1.2	1
ID31	1.1	1
ID32	1.4	1
ID33	2.1	1
ID34	2.2	1
ID35	1.1	1
ID36	1.2	1
ID37	1.5	1
ID38	1.6	1
ID39	1	1
ID40	1.4	1
ID41	1.5	1
ID42	0.3	1
ID43	1.2	1
ID44	1.5	1
ID45	1.8	1
ID46	1	1
ID47	1.8	1
ID48	1.2	1
ID49	1.7	1
ID50	1.3	1
ID51	1.2	0
ID52	1.2	0
ID53	1.1	0
ID54	0.3	0
ID55	0.8	0
ID56	0.8	0
ID57	1.3	0
ID58	0.4	0
ID59	0.9	0
ID60	0.7	0
ID61	0	0
ID62	1	0
ID63	0.2	0
ID64	0.9	0
ID65	0.9	0
ID66	1.1	0
ID67	1	0
ID68	0.7	0
ID69	0.2	0
ID70	0.5	0
ID71	1.2	0
ID72	0.8	0
ID73	0.5	0
ID74	0.8	0
ID75	0.9	0
ID76	1	0
ID77	0.8	0
ID78	1	0
ID79	0.9	0
ID80	0.6	0
ID81	0.4	0
ID82	0.4	0
ID83	0.7	0
ID84	0.7	0
ID85	1	0
ID86	1.4	0
ID87	1.1	0
ID88	0.3	0
ID89	1	0
ID90	0.5	0
ID91	0.6	0
ID92	1	0
ID93	0.6	0
ID94	0.3	0
ID95	0.7	0
ID96	1	0
ID97	0.9	0
ID98	0.9	0
ID99	0.5	0
ID100	0.8	0
