MARKERNAME	CAD_BETA	CAD_SE	CAD_MAF	MIG_BETA	MIG_SE	MIG_MAF
1:37387509	-0.0055	0.0096	0.12849999999999995	-0.000756	0.011251	0.105318
1:37388991	0.0115	0.0101	0.1088	0.000718	0.011338	0.104196
1:37390561	0.0062	0.0096	0.1287	0.001361	0.011262	0.10515
1:37391420	-0.0028	0.01	0.11880000000000002	-0.005479	0.011757	0.094073
1:37391789	-0.012	0.0101	0.12080000000000002	-0.001009	0.011366	0.104961
1:37392084	-0.0054	0.0096	0.13129999999999997	-0.001268	0.011272	0.112788
1:37392519	0.0058	0.0096	0.1287	0.00169	0.011312	0.105208
1:37393085	0.0407	0.0338	0.011800000000000033	0.011033	0.036817	0.021592
1:37393418	-0.0065	0.0096	0.12919999999999998	-0.001814	0.011352	0.106334
1:37393522	-0.0158	0.0101	0.10399999999999998	-0.001939	0.011441	0.097744
1:37393901	-0.0167	0.0104	0.09809999999999997	-0.0021	0.012228	0.089946
1:37394174	0.0042	0.024	0.0197	-0.041539	0.027543	0.025121
1:37394275	0.0649	0.0505	0.007900000000000018	-0.071753	0.054818	0.010243
1:37394492	-0.0285	0.063	0.0048	-0.97095	0.55128	0.020816
1:37394566	-0.0186	0.0213	0.0237	-0.032987	0.028024	0.022222
1:37394948	-0.0148	0.0149	0.0571	0.024889	0.038754	0.056116
1:37395132	-0.0234	0.0623	0.0107	-0.00092	0.047721	0.011941
1:37395244	0.0102	0.009	0.14580000000000004	0.003335	0.01068	0.122513
1:37396219	0.0126	0.009	0.14570000000000005	0.00358	0.01065	0.123286
1:37396339	0.0092	0.0096	0.12239999999999995	0.005212	0.010922	0.116417
1:37396493	0.0601	0.048	0.0077	-0.1816	0.172783	0.013838000000000017
1:37396729	-0.0138	0.0236	0.022199999999999998	0.147582	0.070056	0.018119
1:37398039	0.0134	0.0091	0.14439999999999997	0.003742	0.010656	0.12293
1:37398177	0.0135	0.0119	0.0823	-0.054903	0.028537	0.083397
1:37398261	0.0081	0.0096	0.12350000000000005	0.005834	0.010919	0.116704
1:37398436	-0.0102	0.0089	0.1651	-0.007199	0.010097	0.148503
1:37398814	0.0128	0.0091	0.14470000000000005	0.004153	0.010676	0.124001
1:37398997	0.0125	0.0091	0.14429999999999998	0.004859	0.010636	0.1294
